Title,Rating,Author,Duration,Price
A COURT OF THORNS AND ROSES,4.37,SARAH J. MAAS,16 hr 11 min,$29.99
FUNNY STORY,4.38,EMILY HENRY,11 hr 23 min,$22.50
THE SUBTLE ART OF NOT GIVING A F*CK: A COUNTERINTUITIVE APPROACH TO LIVING A GOOD LIFE,4.31,MARK MANSON,5 hr 18 min,$21.99
"TUESDAYS WITH MORRIE: AN OLD MAN, A YOUNG MAN, AND LIFE'S GREATEST LESSON",4.37,MITCH ALBOM,3 hr 51 min,$9.95
CAUGHT UP,4.66,NAVESSA ALLEN,10 hr 41 min,$34.99
ONYX STORM (2 OF 2) [DRAMATIZED ADAPTATION]: THE EMPYREAN 3,4.6,REBECCA YARROS,9 hr 0 min,Comming Soon
THE TENANT,4.15,FREIDA MCFADDEN,8 hr 50 min,$34.99
THE EX,4.23,FREIDA MCFADDEN,8 hr 33 min,$25.00
THRONE OF GLASS [DRAMATIZED ADAPTATION]: THRONE OF GLASS 1,4.38,SARAH J. MAAS,11 hr 0 min,Comming Soon
NEVER FLINCH: A NOVEL,4.09,STEPHEN KING,14 hr 45 min,$29.99
"HER SOUL TO TAKE: SOULS TRILOGY, BOOK 1",4.77,HARLEY LAROUX,12 hr 47 min,$25.00
TWISTED LOVE,4.2,ANA HUANG,10 hr 41 min,$24.99
"ASK AGAIN, YES: A NOVEL",3.87,MARY BETH KEANE,12 hr 44 min,$26.99
THE GUEST LIST: A NOVEL,4.2,LUCY FOLEY,10 hr 22 min,$27.99
LIGHTS OUT: AN INTO DARKNESS NOVEL,4.67,NAVESSA ALLEN,13 hr 38 min,$24.99 $9.99
THE ALCHEMIST,4.26,PAULO COELHO,4 hr 1 min,$18.99
I'M GLAD MY MOM DIED,4.64,JENNETTE MCCURDY,6 hr 26 min,$19.99
"THE HAPPINESS PROJECT: OR, WHY I SPENT A YEAR TRYING TO SING IN THE MORNING, CLEAN MY CLOSETS, FIGHT RIGHT, READ ARISTOTLE, AND GENERALLY HAVE MORE FUN",4.12,GRETCHEN RUBIN,9 hr 53 min,$27.99
WICKED: THE LIFE AND TIMES OF THE WICKED WITCH OF THE WEST (CYNTHIA ERIVO NARRATION),3.44,GREGORY MAGUIRE,13 hr 38 min,Comming Soon
ONYX STORM (1 OF 2) [DRAMATIZED ADAPTATION]: THE EMPYREAN 3,4.65,REBECCA YARROS,9 hr 41 min,$29.99
A COURT OF THORNS AND ROSES,4.37,SARAH J. MAAS,16 hr 11 min,$29.99
FUNNY STORY,4.38,EMILY HENRY,11 hr 23 min,$22.50
THE SUBTLE ART OF NOT GIVING A F*CK: A COUNTERINTUITIVE APPROACH TO LIVING A GOOD LIFE,4.31,MARK MANSON,5 hr 18 min,$21.99
"TUESDAYS WITH MORRIE: AN OLD MAN, A YOUNG MAN, AND LIFE'S GREATEST LESSON",4.37,MITCH ALBOM,3 hr 51 min,$9.95
CAUGHT UP,4.66,NAVESSA ALLEN,10 hr 41 min,$34.99
ONYX STORM (2 OF 2) [DRAMATIZED ADAPTATION]: THE EMPYREAN 3,4.6,REBECCA YARROS,9 hr 0 min,Comming Soon
THE TENANT,4.15,FREIDA MCFADDEN,8 hr 50 min,$34.99
THE EX,4.23,FREIDA MCFADDEN,8 hr 33 min,$25.00
THRONE OF GLASS [DRAMATIZED ADAPTATION]: THRONE OF GLASS 1,4.38,SARAH J. MAAS,11 hr 0 min,Comming Soon
NEVER FLINCH: A NOVEL,4.09,STEPHEN KING,14 hr 45 min,$29.99
"HER SOUL TO TAKE: SOULS TRILOGY, BOOK 1",4.77,HARLEY LAROUX,12 hr 47 min,$25.00
TWISTED LOVE,4.2,ANA HUANG,10 hr 41 min,$24.99
"ASK AGAIN, YES: A NOVEL",3.87,MARY BETH KEANE,12 hr 44 min,$26.99
THE GUEST LIST: A NOVEL,4.2,LUCY FOLEY,10 hr 22 min,$27.99
LIGHTS OUT: AN INTO DARKNESS NOVEL,4.67,NAVESSA ALLEN,13 hr 38 min,$24.99 $9.99
THE ALCHEMIST,4.26,PAULO COELHO,4 hr 1 min,$18.99
I'M GLAD MY MOM DIED,4.64,JENNETTE MCCURDY,6 hr 26 min,$19.99
"THE HAPPINESS PROJECT: OR, WHY I SPENT A YEAR TRYING TO SING IN THE MORNING, CLEAN MY CLOSETS, FIGHT RIGHT, READ ARISTOTLE, AND GENERALLY HAVE MORE FUN",4.12,GRETCHEN RUBIN,9 hr 53 min,$27.99
WICKED: THE LIFE AND TIMES OF THE WICKED WITCH OF THE WEST (CYNTHIA ERIVO NARRATION),3.44,GREGORY MAGUIRE,13 hr 38 min,Comming Soon
ONYX STORM (1 OF 2) [DRAMATIZED ADAPTATION]: THE EMPYREAN 3,4.65,REBECCA YARROS,9 hr 41 min,$29.99
A COURT OF THORNS AND ROSES,4.37,SARAH J. MAAS,16 hr 11 min,$29.99
FUNNY STORY,4.38,EMILY HENRY,11 hr 23 min,$22.50
THE SUBTLE ART OF NOT GIVING A F*CK: A COUNTERINTUITIVE APPROACH TO LIVING A GOOD LIFE,4.31,MARK MANSON,5 hr 18 min,$21.99
"TUESDAYS WITH MORRIE: AN OLD MAN, A YOUNG MAN, AND LIFE'S GREATEST LESSON",4.37,MITCH ALBOM,3 hr 51 min,$9.95
CAUGHT UP,4.66,NAVESSA ALLEN,10 hr 41 min,$34.99
ONYX STORM (2 OF 2) [DRAMATIZED ADAPTATION]: THE EMPYREAN 3,4.6,REBECCA YARROS,9 hr 0 min,Comming Soon
THE TENANT,4.15,FREIDA MCFADDEN,8 hr 50 min,$34.99
THE EX,4.23,FREIDA MCFADDEN,8 hr 33 min,$25.00
THRONE OF GLASS [DRAMATIZED ADAPTATION]: THRONE OF GLASS 1,4.38,SARAH J. MAAS,11 hr 0 min,Comming Soon
NEVER FLINCH: A NOVEL,4.09,STEPHEN KING,14 hr 45 min,$29.99
"HER SOUL TO TAKE: SOULS TRILOGY, BOOK 1",4.77,HARLEY LAROUX,12 hr 47 min,$25.00
TWISTED LOVE,4.2,ANA HUANG,10 hr 41 min,$24.99
"ASK AGAIN, YES: A NOVEL",3.87,MARY BETH KEANE,12 hr 44 min,$26.99
THE GUEST LIST: A NOVEL,4.2,LUCY FOLEY,10 hr 22 min,$27.99
LIGHTS OUT: AN INTO DARKNESS NOVEL,4.67,NAVESSA ALLEN,13 hr 38 min,$24.99 $9.99
THE ALCHEMIST,4.26,PAULO COELHO,4 hr 1 min,$18.99
I'M GLAD MY MOM DIED,4.64,JENNETTE MCCURDY,6 hr 26 min,$19.99
"THE HAPPINESS PROJECT: OR, WHY I SPENT A YEAR TRYING TO SING IN THE MORNING, CLEAN MY CLOSETS, FIGHT RIGHT, READ ARISTOTLE, AND GENERALLY HAVE MORE FUN",4.12,GRETCHEN RUBIN,9 hr 53 min,$27.99
